win,lose,probability
Toronto Raptors,Phoenix Suns,0.916838485306
Utah Jazz,Memphis Grizzlies,0.895831627007
Oklahoma City Thunder,Washington Wizards,0.560368718486
Miami Heat,Atlanta Hawks,0.718884556632
Houston Rockets,Chicago Bulls,0.916103056402
Cleveland Cavaliers,Charlotte Hornets,0.583830279014
Denver Nuggets,Utah Jazz,0.559675341381
Indiana Pacers,Boston Celtics,0.580558583586
Philadelphia 76ers,Detroit Pistons,0.79102285793
Portland Trail Blazers,Los Angeles Lakers,0.745248060944
San Antonio Spurs,New Orleans Pelicans,0.588479307079
Philadelphia 76ers,Brooklyn Nets,0.789858480547
Toronto Raptors,Los Angeles Lakers,0.750533033728
Milwaukee Bucks,Sacramento Kings,0.751238428384
Memphis Grizzlies,Phoenix Suns,0.618939999279
Portland Trail Blazers,Minnesota Timberwolves,0.647746323717
San Antonio Spurs,Orlando Magic,0.816140923315
Washington Wizards,New York Knicks,0.687053705756
Denver Nuggets,Boston Celtics,0.572101816434
Miami Heat,Detroit Pistons,0.517269581636
Golden State Warriors,Memphis Grizzlies,0.910864812217
Houston Rockets,Indiana Pacers,0.563816891477
Los Angeles Clippers,Minnesota Timberwolves,0.528990354549
Chicago Bulls,New York Knicks,0.548001815105
Oklahoma City Thunder,New Orleans Pelicans,0.644339339849
Cleveland Cavaliers,Orlando Magic,0.804828519317
Utah Jazz,Toronto Raptors,0.558887625155
Charlotte Hornets,Atlanta Hawks,0.711814819058
Washington Wizards,Dallas Mavericks,0.742604224515
Brooklyn Nets,Phoenix Suns,0.672957243587
Portland Trail Blazers,Milwaukee Bucks,0.688422503973
New York Knicks,Atlanta Hawks,0.5587681051
Cleveland Cavaliers,Oklahoma City Thunder,0.558362308112
Indiana Pacers,Philadelphia 76ers,0.512929703091
Minnesota Timberwolves,Los Angeles Lakers,0.612400451083
Denver Nuggets,Memphis Grizzlies,0.825621033695
San Antonio Spurs,Miami Heat,0.511973500414
New Orleans Pelicans,Chicago Bulls,0.835004683827
Detroit Pistons,Orlando Magic,0.716350174625
Toronto Raptors,Sacramento Kings,0.871521025602
