game.awayTeamAbbreviation,game.homeTeamAbbreviation,game.id,game.startTime,stats.defense.blk,stats.defense.blkAgainst,stats.defense.ptsAgainst,stats.defense.stl,stats.defense.tov,stats.fieldGoals.fg2PtAtt,stats.fieldGoals.fg2PtMade,stats.fieldGoals.fg2PtPct,stats.fieldGoals.fg3PtAtt,stats.fieldGoals.fg3PtMade,stats.fieldGoals.fg3PtPct,stats.fieldGoals.fgAtt,stats.fieldGoals.fgMade,stats.fieldGoals.fgPct,stats.freeThrows.ftAtt,stats.freeThrows.ftMade,stats.freeThrows.ftPct,stats.miscellaneous.ejections,stats.miscellaneous.foulFlag1,stats.miscellaneous.foulFlag1Drawn,stats.miscellaneous.foulFlag2,stats.miscellaneous.foulFlag2Drawn,stats.miscellaneous.foulPers,stats.miscellaneous.foulPersDrawn,stats.miscellaneous.foulTech,stats.miscellaneous.foulTechDrawn,stats.miscellaneous.fouls,stats.miscellaneous.foulsDrawn,stats.miscellaneous.plusMinus,stats.offense.ast,stats.offense.pts,stats.rebounds.defReb,stats.rebounds.offReb,stats.rebounds.reb,stats.standings.gamesBack,stats.standings.losses,stats.standings.winPct,stats.standings.wins,team.abbreviation,team.id
ATL,DAL,42078,2017-10-19T00:30:00.000Z,6,4,111,11,13,76,39,51.3,18,9,50.0,94,48,51.1,15,12,80.0,0,0,0,0,0,18,19,18,0,20,19,6,20,117,39,14,54,0,0,1,1,ATL,91
ATL,CHA,42089,2017-10-20T23:00:00.000Z,4,4,109,11,13,65,29,44.6,30,7,23.3,95,36,37.9,14,12,85.7,0,0,0,0,0,29,18,29,0,32,18,-18,19,91,34,15,49,0,1,0,0,ATL,91
ATL,BRO,42107,2017-10-22T19:30:00.000Z,2,8,116,6,16,67,25,37.3,27,7,25.9,94,32,34.0,36,33,91.7,0,0,0,0,0,25,27,25,0,25,27,-12,21,104,35,23,58,0,1,0,0,ATL,91
ATL,MIA,42111,2017-10-23T23:30:00.000Z,1,6,104,9,20,59,29,49.2,17,7,41.2,76,36,47.4,18,14,77.8,0,1,0,0,0,17,19,17,0,20,19,-11,14,93,35,11,47,0,1,0,0,ATL,91
ATL,CHI,42134,2017-10-27T00:00:00.000Z,5,4,91,10,10,53,21,39.6,28,11,39.3,81,32,39.5,13,11,84.6,0,0,0,0,0,23,15,23,0,24,15,-5,22,86,37,7,44,0,1,0,0,ATL,91
DEN,ATL,42142,2017-10-27T23:30:00.000Z,4,4,105,7,12,56,23,41.1,33,14,42.4,89,37,41.6,12,12,100.0,0,0,0,0,0,21,12,21,0,21,12,-5,23,100,32,13,45,0,1,0,0,ATL,91
MIL,ATL,42154,2017-10-29T19:30:00.000Z,2,3,117,9,16,48,23,47.9,29,13,44.8,77,36,46.8,26,21,80.8,0,0,0,0,0,21,27,21,0,21,27,-11,27,106,35,6,41,0,1,0,0,ATL,91
ATL,PHI,42175,2017-11-01T23:00:00.000Z,4,4,119,11,19,71,33,46.5,23,8,34.8,94,41,43.6,27,19,70.4,0,0,0,0,0,28,26,28,0,28,26,-10,22,109,39,19,59,0,1,0,0,ATL,91
HOU,ATL,42192,2017-11-03T23:30:00.000Z,8,4,119,8,18,48,28,58.3,33,11,33.3,81,39,48.2,18,15,83.3,0,0,0,0,0,16,16,16,0,19,16,-15,16,104,39,9,48,0,1,0,0,ATL,91
ATL,CLE,42205,2017-11-05T20:00:00.000Z,6,6,115,4,17,61,30,49.2,25,11,44.0,86,41,47.7,34,24,70.6,0,0,0,0,0,20,29,20,0,20,29,2,24,117,35,21,56,0,0,1,1,ATL,91
